#Id	Used	Can be broken by	Normal Drop	Ultimallet Drop	Description
622	Used	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
623	Used	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
624	Used	Giant Mallet	Silver Tile x1 {1597}	Silver Tile x1 {1597}	0
625	Used	War Hammer	Nothing {-1}	Obsidian x1 {1009}	0
626	Used	Sledgehammer	Light Dolomite x1 {1748}	Light Dolomite x1 {1748}	0
627	Used	Giant Mallet	Clodstone x1 {1020}	Clodstone x1 {1020}	0
628	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
629	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
630	Used	Giant Mallet	Masonry Wall x1 {1761}	Masonry Wall x1 {1761}	0
631	Used	Giant Mallet	Patterned Vault Wall x1 {226}	Patterned Vault Wall x1 {226}	0
632	Used	Giant Mallet	Patterned Vault Wall x1 {226}	Patterned Vault Wall x1 {226}	0
633	Used	Giant Mallet	Vault Tile x1 {2544}	Vault Tile x1 {2544}	0
634	Used	Giant Mallet	Vault Wall x1 {1025}	Vault Wall x1 {1025}	0
635	Used	Giant Mallet	Viny Vault Wall x1 {1026}	Viny Vault Wall x1 {1026}	0
636	Used	Giant Mallet	Stone x2 {404}	Cracked Vault Wall x1 {1027}	0
637	Used	Intangible With Hammer	Nothing {-1}	Nothing {-1}	Malhalla floor
638	Used	Giant Mallet	Iron Block {White} x1 {3119}	Iron Block {White} x1 {3119}	0
639	Used	Giant Mallet	Iron Block {Black} x1 {3120}	Iron Block {Black} x1 {3120}	0
640	Used	Giant Mallet	Iron Block {Purple} x1 {3121}	Iron Block {Purple} x1 {3121}	0
641	Used	Giant Mallet	Iron Block {Pink} x1 {3122}	Iron Block {Pink} x1 {3122}	0
642	Used	Giant Mallet	Iron Block {Red} x1 {3123}	Iron Block {Red} x1 {3123}	0
643	Used	Giant Mallet	Iron Block {Green} x1 {3124}	Iron Block {Green} x1 {3124}	0
644	Used	Giant Mallet	Iron Block {Yellow} x1 {3125}	Iron Block {Yellow} x1 {3125}	0
645	Used	Giant Mallet	Iron Block {Blue} x1 {3126}	Iron Block {Blue} x1 {3126}	0
646	Used	Giant Mallet	Sandstone Brick {White} x1 {3127}	Sandstone Brick {White} x1 {3127}	0
647	Used	Giant Mallet	Sandstone Brick {Black} x1 {3128}	Sandstone Brick {Black} x1 {3128}	0
648	Used	Giant Mallet	Sandstone Brick {Purple} x1 {3129}	Sandstone Brick {Purple} x1 {3129}	0
649	Used	Giant Mallet	Sandstone Brick {Pink} x1 {3130}	Sandstone Brick {Pink} x1 {3130}	0
650	Used	Giant Mallet	Sandstone Brick {Red} x1 {3131}	Sandstone Brick {Red} x1 {3131}	0
651	Used	Giant Mallet	Sandstone Brick {Green} x1 {3132}	Sandstone Brick {Green} x1 {3132}	0
652	Used	Giant Mallet	Sandstone Brick {Yellow} x1 {3133}	Sandstone Brick {Yellow} x1 {3133}	0
653	Used	Giant Mallet	Sandstone Brick {Blue} x1 {3134}	Sandstone Brick {Blue} x1 {3134}	0
654	Used	Giant Mallet	Castle Tile {White} x1 {3135}	Castle Tile {White} x1 {3135}	0
655	Used	Giant Mallet	Castle Tile {Black} x1 {3136}	Castle Tile {Black} x1 {3136}	0
656	Used	Giant Mallet	Castle Tile {Purple} x1 {3137}	Castle Tile {Purple} x1 {3137}	0
657	Used	Giant Mallet	Castle Tile {Pink} x1 {3138}	Castle Tile {Pink} x1 {3138}	0
658	Used	Giant Mallet	Castle Tile {Red} x1 {3139}	Castle Tile {Red} x1 {3139}	0
659	Used	Giant Mallet	Castle Tile {Green} x1 {3140}	Castle Tile {Green} x1 {3140}	0
660	Used	Giant Mallet	Castle Tile {Yellow} x1 {3141}	Castle Tile {Yellow} x1 {3141}	0
661	Used	Giant Mallet	Castle Tile {Blue} x1 {3142}	Castle Tile {Blue} x1 {3142}	0
662	Used	Giant Mallet	Carved Castle Tile {White} x1 {3143}	Carved Castle Tile {White} x1 {3143}	0
663	Used	Giant Mallet	Carved Castle Tile {Black} x1 {3144}	Carved Castle Tile {Black} x1 {3144}	0
664	Used	Giant Mallet	Carved Castle Tile {Purple} x1 {3145}	Carved Castle Tile {Purple} x1 {3145}	0
665	Used	Giant Mallet	Carved Castle Tile {Pink} x1 {3146}	Carved Castle Tile {Pink} x1 {3146}	0
666	Used	Giant Mallet	Carved Castle Tile {Red} x1 {3147}	Carved Castle Tile {Red} x1 {3147}	0
667	Used	Giant Mallet	Carved Castle Tile {Green} x1 {3148}	Carved Castle Tile {Green} x1 {3148}	0
668	Used	Giant Mallet	Carved Castle Tile {Yellow} x1 {3149}	Carved Castle Tile {Yellow} x1 {3149}	0
669	Used	Giant Mallet	Carved Castle Tile {Blue} x1 {3150}	Carved Castle Tile {Blue} x1 {3150}	0
670	Unused	Intangible Block	Nothing {-1}	Nothing {-1}	0
671	Unused	Intangible Block	Nothing {-1}	Nothing {-1}	0
672	Unused	Intangible Block	Nothing {-1}	Nothing {-1}	0
673	Unused	Intangible Block	Nothing {-1}	Nothing {-1}	0
674	Unused	Intangible Block	Nothing {-1}	Nothing {-1}	0
675	Unused	Intangible Block	Nothing {-1}	Nothing {-1}	0
676	Unused	Intangible Block	Nothing {-1}	Nothing {-1}	0
677	Unused	Intangible Block	Nothing {-1}	Nothing {-1}	0
678	Used	Sledgehammer	Bronze Temple Tile x1 {1056}	Bronze Temple Tile x1 {1056}	0
679	Used	Sledgehammer	Blue Temple Tile x1 {1057}	Blue Temple Tile x1 {1057}	0
680	Used	Giant Mallet	Strawberry Seed x2 {1826}	Strawberry Seed x2 {1826}	0
681	Used	Giant Mallet	Aubergette Seed x2 {1832}	Aubergette Seed x2 {1832}	0
682	Used	Cypress Stick	Sweetcorn Kernel x2 {1823}	Sweetcorn Kernel x2 {1823}	0
683	Used	Giant Mallet	Coffee Bean x2 {1827}	Coffee Bean x2 {1827}	0
684	Used	Cypress Stick	Leek Seed x2 {1828}	Leek Seed x2 {1828}	0
685	Used	Giant Mallet	Melon Seed x2 {1834}	Melon Seed x2 {1834}	0
686	Used	Giant Mallet	Gravel Block x1 {1108}	Gravel Block x1 {1108}	0
687	Used	Giant Mallet	Scaled Wall Block x1 {1112}	Scaled Wall Block x1 {1112}	0
688	Used	Giant Mallet	Slatted Wall Block x1 {1136}	Slatted Wall Block x1 {1136}	0
689	Used	Giant Mallet	Woven Straw Block x1 {3169}	Woven Straw Block x1 {3169}	0
690	Used	Giant Mallet	Woven Straw Block x1 {3169}	Woven Straw Block x1 {3169}	0
691	Used	Giant Mallet	Woven Straw Block x1 {3169}	Woven Straw Block x1 {3169}	0
692	Used	Giant Mallet	Woven Straw Block x1 {3169}	Woven Straw Block x1 {3169}	0
693	Used	Giant Mallet	Woven Straw Block x1 {3169}	Woven Straw Block x1 {3169}	0
694	Used	Giant Mallet	Scaled Wall Block {White} x1 {2713}	Scaled Wall Block {White} x1 {2713}	0
695	Used	Giant Mallet	Scaled Wall Block {Black} x1 {2714}	Scaled Wall Block {Black} x1 {2714}	0
696	Used	Giant Mallet	Scaled Wall Block {Purple} x1 {2715}	Scaled Wall Block {Purple} x1 {2715}	0
697	Used	Giant Mallet	Scaled Wall Block {Pink} x1 {2716}	Scaled Wall Block {Pink} x1 {2716}	0
698	Used	Giant Mallet	Scaled Wall Block {Red} x1 {2717}	Scaled Wall Block {Red} x1 {2717}	0
699	Used	Giant Mallet	Scaled Wall Block {Green} x1 {2718}	Scaled Wall Block {Green} x1 {2718}	0
700	Used	Giant Mallet	Scaled Wall Block {Yellow} x1 {2719}	Scaled Wall Block {Yellow} x1 {2719}	0
701	Used	Giant Mallet	Scaled Wall Block {Blue} x1 {2720}	Scaled Wall Block {Blue} x1 {2720}	0
702	Used	Giant Mallet	Polka-Dot Block x1 {3203}	Polka-Dot Block x1 {3203}	0
703	Used	Giant Mallet	Polka-Dot Block {White} x1 {3204}	Polka-Dot Block {White} x1 {3204}	0
704	Used	Giant Mallet	Polka-Dot Block {Black} x1 {3205}	Polka-Dot Block {Black} x1 {3205}	0
705	Used	Giant Mallet	Polka-Dot Block {Purple} x1 {3206}	Polka-Dot Block {Purple} x1 {3206}	0
706	Used	Giant Mallet	Polka-Dot Block {Pink} x1 {3207}	Polka-Dot Block {Pink} x1 {3207}	0
707	Used	Giant Mallet	Polka-Dot Block {Red} x1 {3208}	Polka-Dot Block {Red} x1 {3208}	0
708	Used	Giant Mallet	Polka-Dot Block {Green} x1 {3209}	Polka-Dot Block {Green} x1 {3209}	0
709	Used	Giant Mallet	Polka-Dot Block {Yellow} x1 {3210}	Polka-Dot Block {Yellow} x1 {3210}	0
710	Used	Giant Mallet	Polka-Dot Block {Blue} x1 {3211}	Polka-Dot Block {Blue} x1 {3211}	0
711	Used	Giant Mallet	Faux Floral Floor Block x1 {3368}	Faux Floral Floor Block x1 {3368}	0
712	Used	Giant Mallet	Palm-Patterned Block x1 {3369}	Palm-Patterned Block x1 {3369}	0
713	Used	Giant Mallet	Fruity Fiend Block x1 {3370}	Fruity Fiend Block x1 {3370}	0
714	Used	Giant Mallet	Chequered Block x1 {3371}	Chequered Block x1 {3371}	0
715	Used	Giant Mallet	Sunset-Styled Block x1 {3372}	Sunset-Styled Block x1 {3372}	0
716	Used	Giant Mallet	Seaweed-Styled Block x1 {3373}	Seaweed-Styled Block x1 {3373}	0
717	Used	Giant Mallet	Stylish Stripy Block x1 {3374}	Stylish Stripy Block x1 {3374}	0
718	Used	Giant Mallet	Seaside Scene  Block x1 {3375}	Seaside Scene  Block x1 {3375}	0
719	Used	Giant Mallet	Abstract Floral Floor Block x1 {3376}	Abstract Floral Floor Block x1 {3376}	0
720	Used	Giant Mallet	Herringbone Floorboard Block x1 {3377}	Herringbone Floorboard Block x1 {3377}	0
721	Used	Giant Mallet	Night Sky Wall Block x1 {3378}	Night Sky Wall Block x1 {3378}	0
722	Used	Giant Mallet	Granite Floor Block x1 {3379}	Granite Floor Block x1 {3379}	0
723	Used	Giant Mallet	Stucco Wall Block x1 {3380}	Stucco Wall Block x1 {3380}	0
724	Used	Giant Mallet	Stucco Wall Block {White} x1 {3409}	Stucco Wall Block {White} x1 {3409}	0
725	Used	Giant Mallet	Stucco Wall Block {Black} x1 {3410}	Stucco Wall Block {Black} x1 {3410}	0
726	Used	Giant Mallet	Stucco Wall Block {Purple} x1 {3411}	Stucco Wall Block {Purple} x1 {3411}	0
727	Used	Giant Mallet	Stucco Wall Block {Pink} x1 {3412}	Stucco Wall Block {Pink} x1 {3412}	0
728	Used	Giant Mallet	Stucco Wall Block {Red} x1 {3413}	Stucco Wall Block {Red} x1 {3413}	0
729	Used	Giant Mallet	Stucco Wall Block {Green} x1 {3414}	Stucco Wall Block {Green} x1 {3414}	0
730	Used	Giant Mallet	Stucco Wall Block {Yellow} x1 {3415}	Stucco Wall Block {Yellow} x1 {3415}	0
731	Used	Giant Mallet	Stucco Wall Block {Blue} x1 {3416}	Stucco Wall Block {Blue} x1 {3416}	0
732	Used	Giant Mallet	Palm-Patterned Block {White} x1 {3417}	Palm-Patterned Block {White} x1 {3417}	0
733	Used	Giant Mallet	Palm-Patterned Block {Black} x1 {3418}	Palm-Patterned Block {Black} x1 {3418}	0
734	Used	Giant Mallet	Palm-Patterned Block {Purple} x1 {3419}	Palm-Patterned Block {Purple} x1 {3419}	0
735	Used	Giant Mallet	Palm-Patterned Block {Pink} x1 {3420}	Palm-Patterned Block {Pink} x1 {3420}	0
736	Used	Giant Mallet	Palm-Patterned Block {Red} x1 {3421}	Palm-Patterned Block {Red} x1 {3421}	0
737	Used	Giant Mallet	Palm-Patterned Block {Green} x1 {3422}	Palm-Patterned Block {Green} x1 {3422}	0
738	Used	Giant Mallet	Palm-Patterned Block {Yellow} x1 {3423}	Palm-Patterned Block {Yellow} x1 {3423}	0
739	Used	Giant Mallet	Palm-Patterned Block {Blue} x1 {3424}	Palm-Patterned Block {Blue} x1 {3424}	0
740	Used	Giant Mallet	Chequered Block {White} x1 {3425}	Chequered Block {White} x1 {3425}	0
741	Used	Giant Mallet	Chequered Block {Black} x1 {3426}	Chequered Block {Black} x1 {3426}	0
742	Used	Giant Mallet	Chequered Block {Purple} x1 {3427}	Chequered Block {Purple} x1 {3427}	0
743	Used	Giant Mallet	Chequered Block {Pink} x1 {3428}	Chequered Block {Pink} x1 {3428}	0
744	Used	Giant Mallet	Chequered Block {Red} x1 {3429}	Chequered Block {Red} x1 {3429}	0
745	Used	Giant Mallet	Chequered Block {Green} x1 {3430}	Chequered Block {Green} x1 {3430}	0
746	Used	Giant Mallet	Chequered Block {Yellow} x1 {3431}	Chequered Block {Yellow} x1 {3431}	0
747	Used	Giant Mallet	Chequered Block {Blue} x1 {3432}	Chequered Block {Blue} x1 {3432}	0
748	Used	Giant Mallet	Stylish Stripy Block {White} x1 {3433}	Stylish Stripy Block {White} x1 {3433}	0
749	Used	Giant Mallet	Stylish Stripy Block {Black} x1 {3434}	Stylish Stripy Block {Black} x1 {3434}	0
750	Used	Giant Mallet	Stylish Stripy Block {Purple} x1 {3435}	Stylish Stripy Block {Purple} x1 {3435}	0
751	Used	Giant Mallet	Stylish Stripy Block {Pink} x1 {3436}	Stylish Stripy Block {Pink} x1 {3436}	0
752	Used	Giant Mallet	Stylish Stripy Block {Red} x1 {3437}	Stylish Stripy Block {Red} x1 {3437}	0
753	Used	Giant Mallet	Stylish Stripy Block {Green} x1 {3438}	Stylish Stripy Block {Green} x1 {3438}	0
754	Used	Giant Mallet	Stylish Stripy Block {Yellow} x1 {3439}	Stylish Stripy Block {Yellow} x1 {3439}	0
755	Used	Giant Mallet	Stylish Stripy Block {Blue} x1 {3440}	Stylish Stripy Block {Blue} x1 {3440}	0
756	Used	Giant Mallet	Herringbone Floorboard Block {White} x1 {3441}	Herringbone Floorboard Block {White} x1 {3441}	0
757	Used	Giant Mallet	Herringbone Floorboard Block {Black} x1 {3442}	Herringbone Floorboard Block {Black} x1 {3442}	0
758	Used	Giant Mallet	Herringbone Floorboard Block {Purple} x1 {3443}	Herringbone Floorboard Block {Purple} x1 {3443}	0
759	Used	Giant Mallet	Herringbone Floorboard Block {Pink} x1 {3444}	Herringbone Floorboard Block {Pink} x1 {3444}	0
760	Used	Giant Mallet	Herringbone Floorboard Block {Red} x1 {3445}	Herringbone Floorboard Block {Red} x1 {3445}	0
761	Used	Giant Mallet	Herringbone Floorboard Block {Green} x1 {3446}	Herringbone Floorboard Block {Green} x1 {3446}	0
762	Used	Giant Mallet	Herringbone Floorboard Block {Yellow} x1 {3447}	Herringbone Floorboard Block {Yellow} x1 {3447}	0
763	Used	Giant Mallet	Herringbone Floorboard Block {Blue} x1 {3448}	Herringbone Floorboard Block {Blue} x1 {3448}	0
764	Used	Giant Mallet	Night Sky Wall Block {White} x1 {3449}	Night Sky Wall Block {White} x1 {3449}	0
765	Used	Giant Mallet	Night Sky Wall Block {Black} x1 {3450}	Night Sky Wall Block {Black} x1 {3450}	0
766	Used	Giant Mallet	Night Sky Wall Block {Purple} x1 {3451}	Night Sky Wall Block {Purple} x1 {3451}	0
767	Used	Giant Mallet	Night Sky Wall Block {Pink} x1 {3452}	Night Sky Wall Block {Pink} x1 {3452}	0
768	Used	Giant Mallet	Night Sky Wall Block {Red} x1 {3453}	Night Sky Wall Block {Red} x1 {3453}	0
769	Used	Giant Mallet	Night Sky Wall Block {Green} x1 {3454}	Night Sky Wall Block {Green} x1 {3454}	0
770	Used	Giant Mallet	Night Sky Wall Block {Yellow} x1 {3455}	Night Sky Wall Block {Yellow} x1 {3455}	0
771	Used	Giant Mallet	Night Sky Wall Block {Blue} x1 {3456}	Night Sky Wall Block {Blue} x1 {3456}	0
772	Used	Giant Mallet	Modern Masonry Block x1 {3683}	Modern Masonry Block x1 {3683}	0
773	Used	Giant Mallet	Modern Masonry Block {White} x1 {3684}	Modern Masonry Block {White} x1 {3684}	0
774	Used	Giant Mallet	Modern Masonry Block {Black} x1 {3685}	Modern Masonry Block {Black} x1 {3685}	0
775	Used	Giant Mallet	Modern Masonry Block {Purple} x1 {3686}	Modern Masonry Block {Purple} x1 {3686}	0
776	Used	Giant Mallet	Modern Masonry Block {Pink} x1 {3687}	Modern Masonry Block {Pink} x1 {3687}	0
777	Used	Giant Mallet	Modern Masonry Block {Red} x1 {3688}	Modern Masonry Block {Red} x1 {3688}	0
778	Used	Giant Mallet	Modern Masonry Block {Green} x1 {3689}	Modern Masonry Block {Green} x1 {3689}	0
779	Used	Giant Mallet	Modern Masonry Block {Yellow} x1 {3690}	Modern Masonry Block {Yellow} x1 {3690}	0
780	Used	Giant Mallet	Modern Masonry Block {Blue} x1 {3691}	Modern Masonry Block {Blue} x1 {3691}	0
781	Used	Giant Mallet	Chintzy Block x1 {3692}	Chintzy Block x1 {3692}	0
782	Used	Giant Mallet	Chintzy Block {White} x1 {3693}	Chintzy Block {White} x1 {3693}	0
783	Used	Giant Mallet	Chintzy Block {Black} x1 {3694}	Chintzy Block {Black} x1 {3694}	0
784	Used	Giant Mallet	Chintzy Block {Purple} x1 {3695}	Chintzy Block {Purple} x1 {3695}	0
785	Used	Giant Mallet	Chintzy Block {Pink} x1 {3696}	Chintzy Block {Pink} x1 {3696}	0
786	Used	Giant Mallet	Chintzy Block {Red} x1 {3697}	Chintzy Block {Red} x1 {3697}	0
787	Used	Giant Mallet	Chintzy Block {Green} x1 {3698}	Chintzy Block {Green} x1 {3698}	0
788	Used	Giant Mallet	Chintzy Block {Yellow} x1 {3699}	Chintzy Block {Yellow} x1 {3699}	0
789	Used	Giant Mallet	Chintzy Block {Blue} x1 {3700}	Chintzy Block {Blue} x1 {3700}	0
790	Used	Giant Mallet	Gingham Carpet x1 {3701}	Gingham Carpet x1 {3701}	0
791	Used	Giant Mallet	Gingham Carpet {White} x1 {3702}	Gingham Carpet {White} x1 {3702}	0
792	Used	Giant Mallet	Gingham Carpet {Black} x1 {3703}	Gingham Carpet {Black} x1 {3703}	0
793	Used	Giant Mallet	Gingham Carpet {Purple} x1 {3704}	Gingham Carpet {Purple} x1 {3704}	0
794	Used	Giant Mallet	Gingham Carpet {Pink} x1 {3705}	Gingham Carpet {Pink} x1 {3705}	0
795	Used	Giant Mallet	Gingham Carpet {Red} x1 {3706}	Gingham Carpet {Red} x1 {3706}	0
796	Used	Giant Mallet	Gingham Carpet {Green} x1 {3707}	Gingham Carpet {Green} x1 {3707}	0
797	Used	Giant Mallet	Gingham Carpet {Yellow} x1 {3708}	Gingham Carpet {Yellow} x1 {3708}	0
798	Used	Giant Mallet	Gingham Carpet {Blue} x1 {3709}	Gingham Carpet {Blue} x1 {3709}	0
799	Used	Giant Mallet	Stripy Wall x1 {3710}	Stripy Wall x1 {3710}	0
800	Used	Giant Mallet	Stripy Wall {White} x1 {3711}	Stripy Wall {White} x1 {3711}	0
801	Used	Giant Mallet	Stripy Wall {Black} x1 {3712}	Stripy Wall {Black} x1 {3712}	0
802	Used	Giant Mallet	Stripy Wall {Purple} x1 {3713}	Stripy Wall {Purple} x1 {3713}	0
803	Used	Giant Mallet	Stripy Wall {Pink} x1 {3714}	Stripy Wall {Pink} x1 {3714}	0
804	Used	Giant Mallet	Stripy Wall {Red} x1 {3715}	Stripy Wall {Red} x1 {3715}	0
805	Used	Giant Mallet	Stripy Wall {Green} x1 {3716}	Stripy Wall {Green} x1 {3716}	0
806	Used	Giant Mallet	Stripy Wall {Yellow} x1 {3717}	Stripy Wall {Yellow} x1 {3717}	0
807	Used	Giant Mallet	Stripy Wall {Blue} x1 {3718}	Stripy Wall {Blue} x1 {3718}	0
808	Used	Giant Mallet	Mottled Wall {3719}	Mottled Wall x1 {3719}	0
809	Used	Giant Mallet	Mottled Wall {White} x1 {3720}	Mottled Wall {White} x1 {3720}	0
810	Used	Giant Mallet	Mottled Wall {Black} x1 {3721}	Mottled Wall {Black} x1 {3721}	0
811	Used	Giant Mallet	Mottled Wall {Purple} x1 {3722}	Mottled Wall {Purple} x1 {3722}	0
812	Used	Giant Mallet	Mottled Wall {Pink} x1 {3723}	Mottled Wall {Pink} x1 {3723}	0
813	Used	Giant Mallet	Mottled Wall {Red} x1 {3724}	Mottled Wall {Red} x1 {3724}	0
814	Used	Giant Mallet	Mottled Wall {Green} x1 {3725}	Mottled Wall {Green} x1 {3725}	0
815	Used	Giant Mallet	Mottled Wall {Yellow} x1 {3726}	Mottled Wall {Yellow} x1 {3726}	0
816	Used	Giant Mallet	Mottled Wall {Blue} x1 {3727}	Mottled Wall {Blue} x1 {3727}	0
817	Used	Giant Mallet	Slimy Wall x1 {3728}	Slimy Wall x1 {3728}	0
818	Used	Giant Mallet	Diamond Design Block x1 {3729}	Diamond Design Block x1 {3729}	0
819	Used	Giant Mallet	Old-Skool Wall Block x1 {3730}	Old-Skool Wall Block x1 {3730}	0
820	Used	Giant Mallet	Art Deco Block x1 {3731}	Art Deco Block x1 {3731}	0
821	Used	Giant Mallet	Jungle Wall x1 {3732}	Jungle Wall x1 {3732}	0
822	Used	Giant Mallet	Vintage Wall x1 {3733}	Vintage Wall x1 {3733}	0
823	Used	Giant Mallet	Damask Design Block x1 {3734}	Damask Design Block x1 {3734}	0
824	Used	Giant Mallet	Damask Design Block {White} x1 {3735}	Damask Design Block {White} x1 {3735}	0
825	Used	Giant Mallet	Damask Design Block {Black} x1 {3736}	Damask Design Block {Black} x1 {3736}	0
826	Used	Giant Mallet	Damask Design Block {Purple} x1 {3737}	Damask Design Block {Purple} x1 {3737}	0
827	Used	Giant Mallet	Damask Design Block {Pink} x1 {3738}	Damask Design Block {Pink} x1 {3738}	0
828	Used	Giant Mallet	Damask Design Block {Red} x1 {3739}	Damask Design Block {Red} x1 {3739}	0
829	Used	Giant Mallet	Damask Design Block {Green} x1 {3740}	Damask Design Block {Green} x1 {3740}	0
830	Used	Giant Mallet	Damask Design Block {Yellow} x1 {3741}	Damask Design Block {Yellow} x1 {3741}	0
831	Used	Giant Mallet	Damask Design Block {Blue} x1 {3742}	Damask Design Block {Blue} x1 {3742}	0
832	Used	Giant Mallet	Refined Design Block x1 {3743}	Refined Design Block x1 {3743}	0
833	Used	Giant Mallet	Classy Cross Block x1 {3792}	Classy Cross Block x1 {3792}	0
834	Used	Giant Mallet	Sunset-Styled Block {White} x1 {3943}	Sunset-Styled Block {White} x1 {3943}	0
835	Used	Giant Mallet	Sunset-Styled Block {Black} x1 {3944}	Sunset-Styled Block {Black} x1 {3944}	0
836	Used	Giant Mallet	Sunset-Styled Block {Purple} x1 {3945}	Sunset-Styled Block {Purple} x1 {3945}	0
837	Used	Giant Mallet	Sunset-Styled Block {Pink} x1 {3946}	Sunset-Styled Block {Pink} x1 {3946}	0
838	Used	Giant Mallet	Sunset-Styled Block {Red} x1 {3947}	Sunset-Styled Block {Red} x1 {3947}	0
839	Used	Giant Mallet	Sunset-Styled Block {Green} x1 {3948}	Sunset-Styled Block {Green} x1 {3948}	0
840	Used	Giant Mallet	Sunset-Styled Block {Yellow} x1 {3949}	Sunset-Styled Block {Yellow} x1 {3949}	0
841	Used	Giant Mallet	Sunset-Styled Block {Blue} x1 {3950}	Sunset-Styled Block {Blue} x1 {3950}	0
842	Used	Giant Mallet	Seaweed-Styled Block {White} x1 {3951}	Seaweed-Styled Block {White} x1 {3951}	0
843	Used	Giant Mallet	Seaweed-Styled Block {Black} x1 {3952}	Seaweed-Styled Block {Black} x1 {3952}	0
844	Used	Giant Mallet	Seaweed-Styled Block {Purple} x1 {3953}	Seaweed-Styled Block {Purple} x1 {3953}	0
845	Used	Giant Mallet	Seaweed-Styled Block {Pink} x1 {3954}	Seaweed-Styled Block {Pink} x1 {3954}	0
846	Used	Giant Mallet	Seaweed-Styled Block {Red} x1 {3955}	Seaweed-Styled Block {Red} x1 {3955}	0
847	Used	Giant Mallet	Seaweed-Styled Block {Green} x1 {3956}	Seaweed-Styled Block {Green} x1 {3956}	0
848	Used	Giant Mallet	Seaweed-Styled Block {Yellow} x1 {3957}	Seaweed-Styled Block {Yellow} x1 {3957}	0
849	Used	Giant Mallet	Seaweed-Styled Block {Blue} x1 {3958}	Seaweed-Styled Block {Blue} x1 {3958}	0
850	Used	Giant Mallet	Vintage Wall {White} x1 {3959}	Vintage Wall {White} x1 {3959}	0
851	Used	Giant Mallet	Vintage Wall {Black} x1 {3960}	Vintage Wall {Black} x1 {3960}	0
852	Used	Giant Mallet	Vintage Wall {Purple} x1 {3961}	Vintage Wall {Purple} x1 {3961}	0
853	Used	Giant Mallet	Vintage Wall {Pink} x1 {3962}	Vintage Wall {Pink} x1 {3962}	0
854	Used	Giant Mallet	Vintage Wall {Red} x1 {3963}	Vintage Wall {Red} x1 {3963}	0
855	Used	Giant Mallet	Vintage Wall {Green} x1 {3964}	Vintage Wall {Green} x1 {3964}	0
856	Used	Giant Mallet	Vintage Wall {Yellow} x1 {3965}	Vintage Wall {Yellow} x1 {3965}	0
857	Used	Giant Mallet	Vintage Wall {Blue} x1 {3966}	Vintage Wall {Blue} x1 {3966}	0
858	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
859	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
860	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
861	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
862	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
863	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
864	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
865	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
866	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
867	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
868	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
869	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
870	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
871	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
872	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
873	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
874	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
875	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
876	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
877	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
878	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
879	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
880	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
881	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
882	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
883	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
884	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
885	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
886	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
887	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
888	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
889	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
890	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
891	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
892	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
893	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
894	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
895	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
